ID client,Nom,Edat,Gènere,Perfil de viatge,Preferències comercials,Interacció habitual,Historial d’usos
1315,Blas Armengol,27,M,Altres,Cuina ràpida,Ignora promocions,5 consultes a cafeteries
1316,Dafne Arce,21,F,Família,"Cuina italiana, Mediterrània",Segueix suggeriments personalitzats,"2 consultes a cafeteries, 5 consultes a vehicles"
1317,Candela Rivera,28,F,Negocis,Cafeteria,Respon a ofertes de llibres,"5 consultes a llibres, 3 consultes a vehicles"
1318,Nicolasa Prieto,45,F,Turisme,Cuina italiana,Segueix suggeriments personalitzats,"4 consultes a llibres, 1 consulta a botigues, 2 consultes a vehicles"
1319,Jennifer Abad,65,F,Altres,"Cuina ràpida, Cafeteria",Només consulta horaris i ubicacions,"3 consultes a vehicles, 1 consulta a cafeteries, 1 consulta a llibres"
1320,Delfina Pérez,31,F,Turisme,Moda,Accepta ofertes de menjar,"5 consultes a llibres, 2 consultes a vehicles"
1321,Eusebia Huguet,75,F,Turisme,"Productes naturals, Cuina ràpida",Només consulta horaris i ubicacions,"3 consultes a vehicles, 4 consultes a restaurants"
1322,María Luisa Zaragoza,43,F,Turisme,"Cuina ràpida, Mediterrània, Cafeteria",Segueix suggeriments personalitzats,"5 consultes a cafeteries, 4 consultes a restaurants, 4 consultes a vehicles"
1323,Rosalinda Olmedo,73,F,Família,"Cuina italiana, Mediterrània",Respon a ofertes de llibres,4 consultes a botigues
1324,Narciso Galván,47,M,Altres,"Moda, Perfumeria",Només consulta horaris i ubicacions,2 consultes a cafeteries
1325,Rodrigo Becerra,65,M,Altres,"Perfumeria, Cafeteria",Només consulta horaris i ubicacions,"1 consulta a llibres, 1 consulta a botigues, 4 consultes a vehicles"
1326,Isa Belmonte,49,F,Turisme,"Cafeteria, Cuina italiana, Productes naturals",Només consulta horaris i ubicacions,"3 consultes a vehicles, 1 consulta a cafeteries"
1327,Brígida Pujol,48,F,Altres,Cuina ràpida,Segueix suggeriments personalitzats,"3 consultes a vehicles, 5 consultes a cafeteries, 4 consultes a botigues"
1328,Nereida Moraleda,34,F,Negocis,Cuina ràpida,Només consulta horaris i ubicacions,"5 consultes a llibres, 2 consultes a restaurants, 4 consultes a botigues"
1329,Demetrio Pou,23,M,Turisme,Cuina ràpida,Segueix suggeriments personalitzats,"1 consulta a cafeteries, 2 consultes a botigues"
1330,Raimundo Isern,67,M,Turisme,Premsa i llibres,Només consulta horaris i ubicacions,5 consultes a cafeteries
1331,Íñigo Miguel,41,M,Família,Moda,Respon a ofertes de llibres,"5 consultes a vehicles, 1 consulta a llibres, 2 consultes a cafeteries"
1332,Celso Azorin,49,M,Negocis,"Moda, Cuina italiana",Accepta ofertes de menjar,"4 consultes a restaurants, 4 consultes a llibres"
1333,Hortensia Conde,73,F,Turisme,Cuina italiana,Només consulta horaris i ubicacions,4 consultes a cafeteries
1334,Eligio Estevez,71,M,Família,"Premsa i llibres, Cuina italiana, Moda",Segueix suggeriments personalitzats,"1 consulta a restaurants, 3 consultes a vehicles"
1335,Fabiana Nebot,70,F,Turisme,"Cuina ràpida, Productes naturals",Només consulta horaris i ubicacions,4 consultes a botigues
1336,Luis Talavera,22,M,Negocis,"Cuina italiana, Mediterrània",Només consulta horaris i ubicacions,"4 consultes a botigues, 2 consultes a cafeteries"
1337,Amando Rozas,37,M,Turisme,"Mediterrània, Cuina italiana, Premsa i llibres",Respon a ofertes de llibres,5 consultes a cafeteries
1338,Ángeles Puig,69,F,Altres,"Cuina italiana, Perfumeria",Respon a ofertes de llibres,"4 consultes a llibres, 4 consultes a vehicles, 2 consultes a botigues"
1339,Coral Cisneros,63,F,Negocis,"Productes naturals, Perfumeria",Segueix suggeriments personalitzats,"5 consultes a restaurants, 4 consultes a llibres, 3 consultes a botigues"
1340,Dimas Cabrera,53,M,Negocis,"Productes naturals, Cuina ràpida",Segueix suggeriments personalitzats,1 consulta a vehicles
1341,Jennifer Matas,54,F,Família,Mediterrània,Ignora promocions,"2 consultes a restaurants, 2 consultes a vehicles, 1 consulta a llibres"
1342,Rufino Valera,73,M,Turisme,"Cafeteria, Cuina italiana",Només consulta horaris i ubicacions,4 consultes a llibres
1343,Loreto Ferreras,61,F,Família,"Mediterrània, Cuina ràpida",Accepta ofertes de menjar,1 consulta a cafeteries
1344,Brunilda Moles,74,F,Família,Cafeteria,Accepta ofertes de menjar,"1 consulta a restaurants, 4 consultes a botigues"
1345,Estela Rosa,49,F,Negocis,"Premsa i llibres, Moda, Cuina ràpida",Respon a ofertes de llibres,1 consulta a llibres
1346,Sancho Beltrán,39,M,Negocis,"Cuina ràpida, Perfumeria",Ignora promocions,2 consultes a botigues
1347,Irene Capdevila,50,F,Turisme,"Productes naturals, Perfumeria",Accepta ofertes de menjar,"5 consultes a restaurants, 5 consultes a vehicles"
1348,Rico Anaya,41,M,Altres,"Cuina italiana, Perfumeria, Mediterrània",Segueix suggeriments personalitzats,"1 consulta a cafeteries, 1 consulta a botigues, 3 consultes a llibres"
1349,Lucila Prats,60,F,Altres,"Cuina italiana, Mediterrània, Moda",Accepta ofertes de menjar,"3 consultes a llibres, 4 consultes a cafeteries"
1350,Cristian Aramburu,23,M,Negocis,"Cuina italiana, Productes naturals, Mediterrània",Respon a ofertes de llibres,2 consultes a cafeteries
1351,Jordi Velázquez,27,M,Altres,"Cuina ràpida, Moda",Accepta ofertes de menjar,"3 consultes a cafeteries, 1 consulta a botigues, 1 consulta a vehicles"
1352,Sabas Grau,23,M,Altres,Perfumeria,Accepta ofertes de menjar,4 consultes a botigues
1353,Sigfrido Lozano,52,M,Família,Premsa i llibres,Respon a ofertes de llibres,"1 consulta a cafeteries, 1 consulta a llibres"
1354,Máxima Padilla,66,F,Turisme,"Premsa i llibres, Perfumeria, Cafeteria",Segueix suggeriments personalitzats,"1 consulta a restaurants, 4 consultes a vehicles, 3 consultes a cafeteries"
1355,Horacio Anguita,58,M,Família,"Cuina italiana, Mediterrània",Segueix suggeriments personalitzats,"4 consultes a cafeteries, 2 consultes a botigues, 2 consultes a vehicles"
1356,Macarena Exposito,45,F,Família,Productes naturals,Segueix suggeriments personalitzats,"5 consultes a restaurants, 2 consultes a vehicles, 3 consultes a cafeteries"
1357,Belén Casares,27,F,Altres,"Moda, Perfumeria",Accepta ofertes de menjar,3 consultes a restaurants
1358,Candelario Clemente,69,M,Família,"Perfumeria, Moda",Respon a ofertes de llibres,4 consultes a botigues
1359,Amancio Pinto,46,M,Turisme,"Perfumeria, Cuina italiana, Premsa i llibres",Ignora promocions,"5 consultes a vehicles, 4 consultes a restaurants"
1360,Alcides Céspedes,36,M,Família,Perfumeria,Segueix suggeriments personalitzats,"3 consultes a botigues, 1 consulta a cafeteries, 5 consultes a restaurants"
1361,Renato Carbonell,40,M,Negocis,Cuina ràpida,Accepta ofertes de menjar,2 consultes a vehicles
1362,Américo Lobato,60,M,Família,"Perfumeria, Premsa i llibres",Ignora promocions,5 consultes a cafeteries
1363,Felisa Figuerola,57,F,Negocis,"Premsa i llibres, Cuina italiana, Cafeteria",Accepta ofertes de menjar,"4 consultes a llibres, 1 consulta a cafeteries"
1364,Anna Blazquez,47,F,Turisme,"Mediterrània, Perfumeria",Ignora promocions,3 consultes a restaurants
1365,Rebeca Isern,60,F,Família,"Perfumeria, Cuina ràpida, Mediterrània",Segueix suggeriments personalitzats,5 consultes a botigues
1366,Amado Hernandez,49,M,Família,Productes naturals,Accepta ofertes de menjar,"2 consultes a botigues, 5 consultes a vehicles, 2 consultes a cafeteries"
1367,Candelaria Sotelo,22,F,Altres,"Premsa i llibres, Productes naturals",Accepta ofertes de menjar,1 consulta a cafeteries
1368,María Fuentes,52,F,Negocis,Productes naturals,Respon a ofertes de llibres,4 consultes a llibres
1369,Anastasio Alfaro,66,M,Altres,"Cuina italiana, Cafeteria",Accepta ofertes de menjar,"5 consultes a vehicles, 5 consultes a botigues, 3 consultes a llibres"
1370,Arsenio Morillo,75,M,Família,Cuina ràpida,Segueix suggeriments personalitzats,"4 consultes a vehicles, 4 consultes a cafeteries, 5 consultes a llibres"
1371,Chita Carretero,41,F,Negocis,"Productes naturals, Premsa i llibres",Segueix suggeriments personalitzats,2 consultes a vehicles
1372,Andrés Ramirez,70,M,Altres,"Cafeteria, Premsa i llibres",Segueix suggeriments personalitzats,"2 consultes a botigues, 4 consultes a restaurants"
1373,Jordi Morante,54,M,Turisme,Moda,Només consulta horaris i ubicacions,4 consultes a vehicles
1374,Severino Luz,50,M,Altres,Perfumeria,Accepta ofertes de menjar,"3 consultes a llibres, 5 consultes a botigues, 5 consultes a cafeteries"
1375,Isaías Palomino,41,M,Altres,"Premsa i llibres, Moda, Cuina ràpida",Ignora promocions,2 consultes a botigues
1376,Domitila Bello,43,F,Turisme,"Cuina ràpida, Moda",Accepta ofertes de menjar,"5 consultes a cafeteries, 2 consultes a restaurants, 1 consulta a botigues"
1377,Almudena Morell,70,F,Família,"Perfumeria, Premsa i llibres, Mediterrània",Accepta ofertes de menjar,2 consultes a vehicles
1378,Sonia Poza,29,F,Negocis,"Cafeteria, Moda",Respon a ofertes de llibres,5 consultes a vehicles
1379,Andrés Felipe Gascón,39,M,Altres,"Cuina italiana, Mediterrània, Cafeteria",Accepta ofertes de menjar,"4 consultes a botigues, 3 consultes a llibres"
1380,Modesto Aguado,43,M,Turisme,"Cuina italiana, Perfumeria",Només consulta horaris i ubicacions,1 consulta a restaurants
1381,Octavio Tomas,44,M,Negocis,"Moda, Mediterrània, Cafeteria",Només consulta horaris i ubicacions,1 consulta a restaurants
1382,América Vallejo,73,F,Altres,"Mediterrània, Cuina ràpida, Perfumeria",Ignora promocions,"1 consulta a botigues, 1 consulta a vehicles, 2 consultes a restaurants"
1383,Adelina Manjón,26,F,Negocis,"Productes naturals, Cafeteria",Respon a ofertes de llibres,"4 consultes a restaurants, 5 consultes a vehicles"
1384,Feliciana Ramirez,29,F,Altres,"Productes naturals, Moda, Cuina ràpida",Ignora promocions,"1 consulta a restaurants, 5 consultes a cafeteries, 1 consulta a botigues"
1385,Elena Figueras,23,F,Negocis,"Mediterrània, Perfumeria, Cuina ràpida",Accepta ofertes de menjar,"2 consultes a botigues, 4 consultes a llibres, 4 consultes a cafeteries"
1386,Clementina Villanueva,72,F,Família,"Productes naturals, Moda",Ignora promocions,"1 consulta a vehicles, 1 consulta a botigues, 5 consultes a llibres"
1387,Fanny Mendizábal,35,F,Turisme,"Mediterrània, Perfumeria, Premsa i llibres",Només consulta horaris i ubicacions,"3 consultes a vehicles, 2 consultes a llibres, 4 consultes a botigues"
1388,Ciro Ferrera,61,M,Negocis,"Cuina italiana, Premsa i llibres",Accepta ofertes de menjar,"2 consultes a vehicles, 3 consultes a cafeteries, 2 consultes a botigues"
1389,Alex Arco,19,M,Altres,Perfumeria,Només consulta horaris i ubicacions,"4 consultes a llibres, 2 consultes a cafeteries"
1390,Yéssica Ledesma,73,F,Turisme,Mediterrània,Segueix suggeriments personalitzats,"1 consulta a cafeteries, 2 consultes a llibres"
1391,Soledad Perea,30,F,Família,Cafeteria,Respon a ofertes de llibres,"4 consultes a llibres, 2 consultes a vehicles, 4 consultes a botigues"
1392,Liliana Bertrán,23,F,Família,"Perfumeria, Cuina italiana",Segueix suggeriments personalitzats,"3 consultes a cafeteries, 1 consulta a botigues, 2 consultes a llibres"
1393,Cornelio Ribas,56,M,Negocis,"Moda, Perfumeria, Productes naturals",Accepta ofertes de menjar,3 consultes a llibres
1394,Gala Taboada,63,F,Família,"Cuina ràpida, Cuina italiana",Accepta ofertes de menjar,"1 consulta a llibres, 4 consultes a vehicles"
1395,Amador Riera,39,M,Negocis,Cafeteria,Respon a ofertes de llibres,1 consulta a vehicles
1396,Albert Fuente,50,M,Turisme,"Cuina ràpida, Perfumeria",Ignora promocions,"1 consulta a vehicles, 1 consulta a botigues"
1397,Sancho Frías,32,M,Turisme,"Cuina ràpida, Cafeteria, Cuina italiana",Només consulta horaris i ubicacions,1 consulta a llibres
1398,Heriberto Pi,64,M,Negocis,"Cafeteria, Premsa i llibres, Mediterrània",Només consulta horaris i ubicacions,"4 consultes a vehicles, 5 consultes a restaurants"
1399,Jordi Bou,52,M,Turisme,"Cuina italiana, Cuina ràpida",Accepta ofertes de menjar,"4 consultes a restaurants, 5 consultes a botigues, 2 consultes a vehicles"
1400,Miguel Ángel Amorós,65,M,Altres,"Cuina ràpida, Productes naturals",Només consulta horaris i ubicacions,"4 consultes a vehicles, 1 consulta a cafeteries"
1401,Cristian Yáñez,25,M,Negocis,Perfumeria,Accepta ofertes de menjar,"4 consultes a cafeteries, 5 consultes a vehicles, 4 consultes a llibres"
1402,Miriam Baró,65,F,Turisme,Perfumeria,Segueix suggeriments personalitzats,"4 consultes a restaurants, 1 consulta a llibres"
1403,Ascensión Cuenca,66,F,Turisme,"Cuina italiana, Cuina ràpida",Ignora promocions,"4 consultes a cafeteries, 3 consultes a vehicles, 5 consultes a botigues"
1404,Rosa Crespi,38,F,Altres,Moda,Respon a ofertes de llibres,"1 consulta a vehicles, 4 consultes a botigues"
1405,Celso Rios,36,M,Negocis,"Cuina italiana, Cuina ràpida, Premsa i llibres",Accepta ofertes de menjar,"5 consultes a cafeteries, 5 consultes a botigues"
1406,Mateo Chacón,57,M,Negocis,Productes naturals,Només consulta horaris i ubicacions,4 consultes a restaurants
1407,Graciela Lluch,65,F,Negocis,Productes naturals,Ignora promocions,"4 consultes a cafeteries, 3 consultes a restaurants, 4 consultes a llibres"
1408,Gervasio Torralba,33,M,Altres,"Perfumeria, Cafeteria",Només consulta horaris i ubicacions,"4 consultes a botigues, 3 consultes a restaurants, 5 consultes a vehicles"
1409,Azahar Carreño,72,F,Negocis,Mediterrània,Segueix suggeriments personalitzats,"3 consultes a llibres, 1 consulta a botigues, 5 consultes a cafeteries"
1410,Victorino Botella,43,M,Altres,Moda,Ignora promocions,4 consultes a vehicles
1411,Javi Beltrán,57,M,Altres,"Productes naturals, Mediterrània",Accepta ofertes de menjar,"5 consultes a vehicles, 5 consultes a botigues"
1412,Lucas Cano,22,M,Altres,"Productes naturals, Premsa i llibres, Perfumeria",Respon a ofertes de llibres,4 consultes a cafeteries
1413,Silvio Barrio,48,M,Turisme,"Mediterrània, Perfumeria",Segueix suggeriments personalitzats,1 consulta a llibres
1414,Hipólito Muro,19,M,Altres,Cuina ràpida,Segueix suggeriments personalitzats,"5 consultes a botigues, 5 consultes a vehicles"
1415,Lupe Mur,38,F,Família,Cafeteria,Accepta ofertes de menjar,"3 consultes a llibres, 5 consultes a vehicles"
1416,Marino Miralles,66,M,Altres,"Mediterrània, Cafeteria, Moda",Ignora promocions,"4 consultes a llibres, 5 consultes a vehicles"
1417,Cosme Mas,58,M,Família,Cuina ràpida,Només consulta horaris i ubicacions,4 consultes a vehicles
1418,Jose Ignacio Pagès,18,M,Turisme,"Moda, Premsa i llibres",Respon a ofertes de llibres,"4 consultes a vehicles, 3 consultes a botigues, 3 consultes a llibres"
1419,Josué Barragán,50,M,Altres,Premsa i llibres,Només consulta horaris i ubicacions,"4 consultes a llibres, 5 consultes a botigues, 1 consulta a vehicles"
1420,Carla Marquez,43,F,Turisme,"Cuina italiana, Moda",Ignora promocions,"3 consultes a restaurants, 5 consultes a cafeteries, 5 consultes a vehicles"
1421,Roldán Novoa,36,M,Família,Perfumeria,Ignora promocions,"2 consultes a llibres, 4 consultes a botigues, 2 consultes a cafeteries"
1422,Juan Bautista Gómez,64,M,Altres,"Cuina italiana, Perfumeria, Mediterrània",Només consulta horaris i ubicacions,2 consultes a restaurants
1423,Pancho Gonzalo,38,M,Altres,Cuina italiana,Ignora promocions,2 consultes a vehicles
1424,Casemiro Fábregas,31,M,Família,"Perfumeria, Mediterrània",Segueix suggeriments personalitzats,"1 consulta a vehicles, 5 consultes a llibres"
1425,Nicolasa Zabala,20,F,Altres,"Premsa i llibres, Moda",Només consulta horaris i ubicacions,"1 consulta a cafeteries, 4 consultes a restaurants, 3 consultes a llibres"
1426,Octavia Abellán,32,F,Altres,Cuina ràpida,Només consulta horaris i ubicacions,"3 consultes a restaurants, 4 consultes a llibres, 1 consulta a cafeteries"
1427,Ruy Cerdán,61,M,Altres,"Cuina ràpida, Productes naturals",Només consulta horaris i ubicacions,"4 consultes a restaurants, 5 consultes a cafeteries"
1428,Josué Quiroga,44,M,Negocis,"Premsa i llibres, Productes naturals, Moda",Només consulta horaris i ubicacions,2 consultes a llibres
1429,Leandro Barranco,27,M,Negocis,"Productes naturals, Cuina italiana, Premsa i llibres",Respon a ofertes de llibres,"4 consultes a botigues, 3 consultes a cafeteries, 4 consultes a restaurants"
1430,Imelda Montalbán,45,F,Negocis,"Productes naturals, Cafeteria",Només consulta horaris i ubicacions,2 consultes a cafeteries
1431,Hortensia Santamaria,21,F,Turisme,"Productes naturals, Cuina ràpida",Ignora promocions,"2 consultes a vehicles, 5 consultes a cafeteries"
1432,Irene Posada,25,F,Família,"Cafeteria, Premsa i llibres, Cuina italiana",Respon a ofertes de llibres,"5 consultes a llibres, 4 consultes a restaurants"
1433,Marina Salom,23,F,Altres,"Productes naturals, Perfumeria",Respon a ofertes de llibres,"4 consultes a cafeteries, 4 consultes a llibres"
1434,Gilberto Elías,67,M,Negocis,"Moda, Cafeteria, Premsa i llibres",Ignora promocions,"4 consultes a restaurants, 3 consultes a botigues"
1435,Ricardo Vallés,75,M,Altres,"Cuina ràpida, Cuina italiana",Segueix suggeriments personalitzats,"4 consultes a cafeteries, 4 consultes a botigues, 3 consultes a vehicles"
1436,Caridad Múgica,33,F,Negocis,"Productes naturals, Mediterrània",Accepta ofertes de menjar,4 consultes a vehicles
1437,Máxima Quintana,68,F,Família,"Moda, Perfumeria",Accepta ofertes de menjar,2 consultes a cafeteries
1438,Mohamed Blanco,28,M,Turisme,Perfumeria,Accepta ofertes de menjar,"1 consulta a botigues, 2 consultes a restaurants"
1439,Consuelo Palau,61,F,Negocis,"Perfumeria, Moda, Mediterrània",Només consulta horaris i ubicacions,"1 consulta a restaurants, 1 consulta a vehicles, 4 consultes a cafeteries"
1440,Lucas Escalona,66,M,Negocis,"Cuina italiana, Moda",Respon a ofertes de llibres,"3 consultes a restaurants, 4 consultes a cafeteries, 4 consultes a botigues"
1441,José Valle,72,F,Negocis,"Moda, Premsa i llibres, Mediterrània",Respon a ofertes de llibres,"5 consultes a vehicles, 5 consultes a restaurants, 1 consulta a cafeteries"
1442,Socorro Lorenzo,34,F,Turisme,Productes naturals,Accepta ofertes de menjar,"1 consulta a botigues, 4 consultes a vehicles, 5 consultes a llibres"
1443,Jose Villalonga,75,M,Família,Premsa i llibres,Accepta ofertes de menjar,3 consultes a botigues
1444,Azahar Tapia,28,F,Família,"Premsa i llibres, Productes naturals",Accepta ofertes de menjar,"5 consultes a botigues, 4 consultes a restaurants, 2 consultes a llibres"
1445,Severino Requena,38,M,Turisme,Cuina italiana,Només consulta horaris i ubicacions,"4 consultes a llibres, 5 consultes a restaurants, 3 consultes a cafeteries"
1446,Rosalinda Ureña,54,F,Altres,"Cuina italiana, Cuina ràpida, Premsa i llibres",Només consulta horaris i ubicacions,"2 consultes a botigues, 5 consultes a restaurants"
1447,María Belén Jódar,33,F,Altres,Cuina ràpida,Ignora promocions,2 consultes a llibres
1448,Anselmo Juárez,20,M,Negocis,"Productes naturals, Cafeteria",Accepta ofertes de menjar,"2 consultes a vehicles, 1 consulta a botigues, 3 consultes a cafeteries"
1449,Calixto Mendoza,27,M,Altres,"Productes naturals, Moda",Accepta ofertes de menjar,"3 consultes a cafeteries, 3 consultes a restaurants"
1450,Adrián Cabañas,61,M,Turisme,"Cuina italiana, Moda, Productes naturals",Accepta ofertes de menjar,1 consulta a llibres
1451,Alberto Falcó,39,M,Família,"Productes naturals, Cafeteria, Premsa i llibres",Segueix suggeriments personalitzats,5 consultes a botigues
1452,Heliodoro Hurtado,74,M,Negocis,"Perfumeria, Cuina ràpida",Respon a ofertes de llibres,"1 consulta a botigues, 2 consultes a llibres, 2 consultes a vehicles"
1453,Dulce Peñalver,27,F,Família,"Cafeteria, Cuina italiana, Productes naturals",Només consulta horaris i ubicacions,2 consultes a botigues
1454,Gerardo Puerta,21,M,Negocis,"Cuina ràpida, Productes naturals, Premsa i llibres",Respon a ofertes de llibres,"4 consultes a llibres, 5 consultes a vehicles"
1455,Feliciana Padilla,22,F,Altres,"Productes naturals, Cuina italiana, Cuina ràpida",Només consulta horaris i ubicacions,1 consulta a vehicles
1456,Lola Córdoba,34,F,Negocis,"Cuina italiana, Cuina ràpida",Respon a ofertes de llibres,"3 consultes a vehicles, 5 consultes a restaurants, 5 consultes a botigues"
1457,Tania Lloret,41,F,Altres,"Premsa i llibres, Mediterrània",Només consulta horaris i ubicacions,5 consultes a llibres
1458,Francisco Poza,51,M,Altres,"Productes naturals, Cuina ràpida",Respon a ofertes de llibres,1 consulta a botigues
1459,Fabián Gil,18,M,Altres,Perfumeria,Ignora promocions,"5 consultes a restaurants, 2 consultes a llibres, 5 consultes a vehicles"
1460,Áurea Gallo,33,F,Negocis,"Perfumeria, Mediterrània",Respon a ofertes de llibres,"2 consultes a restaurants, 3 consultes a vehicles, 5 consultes a llibres"
1461,Fito Almagro,75,M,Família,"Moda, Cuina ràpida, Perfumeria",Només consulta horaris i ubicacions,"2 consultes a cafeteries, 3 consultes a restaurants"
1462,Azucena Rincón,19,F,Altres,"Perfumeria, Cafeteria",Accepta ofertes de menjar,"4 consultes a botigues, 2 consultes a restaurants, 2 consultes a vehicles"
1463,Jafet Alcaraz,74,M,Família,Mediterrània,Ignora promocions,"1 consulta a botigues, 5 consultes a vehicles, 2 consultes a cafeteries"
1464,Concha Miró,69,F,Família,Productes naturals,Només consulta horaris i ubicacions,"3 consultes a vehicles, 2 consultes a llibres, 1 consulta a restaurants"
1465,Saturnina Mínguez,20,F,Turisme,Cuina ràpida,Respon a ofertes de llibres,"5 consultes a llibres, 5 consultes a cafeteries"
1466,Edmundo Calleja,55,M,Turisme,"Productes naturals, Cuina italiana",Respon a ofertes de llibres,"1 consulta a vehicles, 5 consultes a llibres, 4 consultes a cafeteries"
1467,Cristian Mendez,55,M,Turisme,"Productes naturals, Premsa i llibres, Cuina ràpida",Ignora promocions,"3 consultes a botigues, 1 consulta a vehicles, 4 consultes a cafeteries"
1468,Armida Herranz,49,F,Altres,Productes naturals,Ignora promocions,3 consultes a vehicles
1469,Natalia Serra,69,F,Turisme,Premsa i llibres,Segueix suggeriments personalitzats,"5 consultes a restaurants, 5 consultes a botigues"
1470,Amparo Priego,19,F,Família,"Cuina ràpida, Cuina italiana",Segueix suggeriments personalitzats,"1 consulta a llibres, 4 consultes a cafeteries"
1471,Trini Zorrilla,31,F,Família,"Cafeteria, Perfumeria",Només consulta horaris i ubicacions,"1 consulta a cafeteries, 3 consultes a llibres, 5 consultes a restaurants"
1472,Febe Pardo,59,F,Turisme,"Productes naturals, Cafeteria",Accepta ofertes de menjar,"1 consulta a vehicles, 3 consultes a restaurants"
1473,Epifanio Maza,41,M,Altres,"Productes naturals, Cuina italiana",Accepta ofertes de menjar,"4 consultes a vehicles, 5 consultes a botigues"
1474,Teófila Gelabert,66,F,Negocis,Cuina italiana,Només consulta horaris i ubicacions,"5 consultes a botigues, 4 consultes a cafeteries, 5 consultes a llibres"
1475,Andrea Coll,46,F,Altres,"Premsa i llibres, Perfumeria, Productes naturals",Ignora promocions,5 consultes a restaurants
1476,Glauco Rodríguez,69,M,Negocis,"Mediterrània, Cafeteria",Accepta ofertes de menjar,"5 consultes a cafeteries, 5 consultes a llibres"
1477,Edgardo Zapata,45,M,Altres,Productes naturals,Ignora promocions,"3 consultes a llibres, 1 consulta a cafeteries"
1478,Prudencia Atienza,52,F,Altres,"Mediterrània, Premsa i llibres",Respon a ofertes de llibres,5 consultes a restaurants
1479,Carmela Calleja,58,F,Turisme,"Cafeteria, Perfumeria",Segueix suggeriments personalitzats,"2 consultes a llibres, 1 consulta a restaurants, 5 consultes a botigues"
1480,Julián Nicolau,33,M,Família,"Cafeteria, Mediterrània, Cuina ràpida",Accepta ofertes de menjar,"2 consultes a botigues, 5 consultes a vehicles"
1481,Alcides Núñez,22,M,Negocis,"Mediterrània, Cuina ràpida",Segueix suggeriments personalitzats,"5 consultes a botigues, 2 consultes a cafeteries, 3 consultes a vehicles"
1482,Jennifer Arnaiz,39,F,Família,"Mediterrània, Cuina ràpida, Cafeteria",Respon a ofertes de llibres,"1 consulta a restaurants, 1 consulta a cafeteries, 1 consulta a botigues"
1483,Álvaro Garrido,68,M,Família,Cuina italiana,Segueix suggeriments personalitzats,3 consultes a botigues
1484,Pedro Terrón,18,M,Turisme,"Premsa i llibres, Cuina ràpida",Només consulta horaris i ubicacions,"3 consultes a vehicles, 5 consultes a llibres, 2 consultes a restaurants"
1485,Maximiliano Sevilla,35,M,Família,Mediterrània,Respon a ofertes de llibres,"3 consultes a vehicles, 5 consultes a restaurants, 4 consultes a botigues"
1486,Mamen Robles,71,F,Altres,"Premsa i llibres, Cafeteria, Mediterrània",Només consulta horaris i ubicacions,"3 consultes a cafeteries, 2 consultes a llibres, 2 consultes a vehicles"
1487,Azeneth Beltran,62,F,Família,Cuina ràpida,Segueix suggeriments personalitzats,"1 consulta a botigues, 3 consultes a cafeteries"
1488,Custodia Barceló,56,F,Família,"Productes naturals, Cafeteria, Premsa i llibres",Segueix suggeriments personalitzats,"4 consultes a restaurants, 1 consulta a cafeteries, 2 consultes a vehicles"
1489,Domingo Céspedes,62,M,Turisme,Premsa i llibres,Accepta ofertes de menjar,3 consultes a cafeteries
1490,Timoteo Galvez,19,M,Altres,Cuina italiana,Respon a ofertes de llibres,"2 consultes a vehicles, 2 consultes a cafeteries"
1491,Guadalupe Goicoechea,74,F,Altres,"Cuina ràpida, Mediterrània",Respon a ofertes de llibres,3 consultes a llibres
1492,Ainara Tormo,47,F,Família,"Mediterrània, Cafeteria, Premsa i llibres",Segueix suggeriments personalitzats,"1 consulta a vehicles, 1 consulta a cafeteries"
1493,Carmela Vilanova,72,F,Família,Cuina italiana,Accepta ofertes de menjar,"5 consultes a llibres, 4 consultes a vehicles"
1494,Martina Font,39,F,Altres,Cafeteria,Només consulta horaris i ubicacions,"2 consultes a vehicles, 2 consultes a restaurants, 4 consultes a cafeteries"
1495,Feliciana Mármol,72,F,Negocis,"Cafeteria, Mediterrània, Moda",Segueix suggeriments personalitzats,2 consultes a llibres
1496,Faustino Solís,55,M,Altres,"Productes naturals, Cafeteria",Només consulta horaris i ubicacions,"1 consulta a llibres, 1 consulta a cafeteries"
1497,Alejandra Velázquez,26,F,Turisme,"Cuina italiana, Cafeteria, Productes naturals",Accepta ofertes de menjar,1 consulta a vehicles
1498,Anunciación Fernandez,24,F,Turisme,"Premsa i llibres, Perfumeria",Segueix suggeriments personalitzats,"5 consultes a cafeteries, 2 consultes a botigues"
1499,Adelardo Terrón,66,M,Turisme,"Premsa i llibres, Cuina italiana",Accepta ofertes de menjar,4 consultes a restaurants
1500,Vilma Vigil,56,F,Negocis,"Cafeteria, Productes naturals",Només consulta horaris i ubicacions,"3 consultes a restaurants, 4 consultes a cafeteries, 4 consultes a llibres"
1501,Toribio Perez,64,M,Turisme,"Premsa i llibres, Mediterrània",Segueix suggeriments personalitzats,"3 consultes a vehicles, 2 consultes a botigues, 1 consulta a cafeteries"
1502,Leonardo Maestre,20,M,Família,"Cuina ràpida, Mediterrània",Respon a ofertes de llibres,"1 consulta a llibres, 5 consultes a botigues"
1503,Celso Sanmartín,72,M,Turisme,Cuina italiana,Només consulta horaris i ubicacions,3 consultes a vehicles
1504,Áurea Falcó,19,F,Negocis,"Productes naturals, Cafeteria, Premsa i llibres",Respon a ofertes de llibres,"1 consulta a restaurants, 2 consultes a llibres"
